coords,Snout_x,Snout_y,LFL_x,LFL_y,RFL_x,RFL_y,LHL_x,LHL_y,RHL_x,RHL_y,Tailtip_x,Tailtip_y
66,186.0695457,200.9978914,107.8582647,208.931859,149.7761561,210.7114277,76.14868073,204.3987236,32.20939493,213.7304736,198.1592565,198.4161861
67,188.4169188,200.8321881,106.8208561,209.3976216,149.7175949,211.1063156,81.70826793,203.9697647,32.20428896,214.0947433,200.8373415,195.6444612
68,188.5278568,200.8507805,106.7973634,209.3991604,149.748603,211.1099296,81.69181204,203.9692221,32.27928114,214.0932884,200.8567817,195.6811028
69,191.0101669,200.5360632,105.5560734,209.1782002,149.4987371,210.808847,87.88753748,204.2027626,31.86655974,214.0776579,199.1093378,197.9609671
70,191.3414261,200.5357552,104.2679868,208.948595,149.6602578,211.0699968,88.08010149,204.1688976,31.68878269,214.0387566,199.1222687,197.9760797
71,193.4764485,201.3729048,107.9878908,209.273448,149.5013363,211.3371563,95.67401981,204.2675343,31.81843543,214.0093381,200.7309239,198.1871705
72,193.4066744,201.3833852,107.9178385,209.2408781,149.2977273,211.4201379,95.67549562,204.2025766,31.82160568,214.0488529,200.6924753,198.1507504
73,195.5880594,201.6124725,109.8335929,208.5827374,149.7614504,210.8839467,101.0465686,206.3815961,31.83014631,213.8443807,202.5737367,196.2467155
74,195.4148717,201.5925064,109.817544,208.9252107,149.6059817,211.0330663,101.2640214,206.7681355,31.52529335,213.7347935,3.460125923,200.7748902
75,197.1434182,202.4583187,112.1170337,207.4992533,149.1069316,211.3655758,105.7787204,207.5156729,31.62899804,213.212695,3.400582075,200.590625
76,197.1348671,202.4729195,112.0599909,207.5117235,149.122934,211.3497515,105.7960243,207.5317442,31.89872551,213.3167863,3.454054296,200.5779285
77,217.1134171,203.6996193,181.665462,203.2032101,148.2944005,213.1680441,110.6677923,209.1469831,35.8453871,208.3884578,3.659867287,197.8856956
78,218.4575038,204.0174885,188.4891979,204.3397435,147.9446761,213.2907658,110.8642755,208.8418865,44.06169651,204.1618223,6.963503361,195.7755909
79,218.458282,204.0185575,188.4816267,204.3422592,147.9470413,213.2981005,110.8649509,208.8368297,44.057853,204.1699953,6.964398861,195.7728517
80,221.0055056,204.1824484,191.92799,203.9199828,148.1995891,212.8986092,110.9248099,209.2247567,50.53409171,200.7782331,10.22974217,193.9236951
81,220.9728072,204.1360531,191.9118714,204.0120104,148.2375886,212.9459734,110.9525733,209.3542809,50.55172777,200.8369417,10.17972231,193.8756437
82,223.2179182,204.9525003,193.0339544,205.041451,148.6943858,212.767065,110.4311299,209.9340448,57.79514003,199.5558574,12.73187941,191.749759
83,223.2172093,204.942502,193.014065,205.0323991,148.6799846,212.7638073,110.4277713,209.9420457,57.76260424,199.579838,12.6828028,191.8056343
84,224.991838,203.9816031,193.7119427,205.527526,149.0672516,212.1240883,110.6697505,211.5297384,66.25764143,196.7680483,14.36261988,189.357744
85,224.991838,203.9816031,193.7119427,205.527526,149.0672516,212.1240883,110.6697505,211.5297384,66.25764143,196.7680483,14.36261988,189.357744
86,227.1278868,203.2157536,196.2594238,204.6096377,149.600215,212.2590151,110.9314833,210.9297581,74.56126463,195.1291862,15.99746037,187.4964995
87,227.1248655,203.2065964,196.3183109,204.6421229,149.6048939,212.2634182,110.9333136,210.9313087,74.56089377,195.1271024,16.01518703,187.5030565
88,229.0770323,203.4841647,207.290843,204.9883018,150.0922132,212.9547386,112.0843759,210.8799453,84.86203361,195.3323317,17.2332778,185.6624875
89,229.0770323,203.4841647,207.290843,204.9883018,150.0922132,212.9547386,112.0843759,210.8799453,84.86203361,195.3323317,17.2332778,185.6624875
90,231.8089159,203.1320643,205.1315122,209.0336704,150.9896393,213.143939,112.6918583,211.0676231,91.46671951,196.6400394,18.5686264,184.4675345
91,231.8531797,203.1304007,205.1629488,209.0193372,150.9969103,213.1273403,112.7210703,211.0798903,91.44234538,196.6178875,18.55548716,184.5168681
92,233.9333363,202.3482676,204.9044104,210.1626711,151.1559236,213.1448088,113.6793041,210.9372988,94.20668721,196.6959402,19.64088106,182.8678017
93,233.9633722,202.3421803,205.0348114,210.0203896,150.9232035,213.2189312,113.338028,210.6555119,94.39732814,196.6367872,19.6402216,182.9577327
94,235.1562414,202.1356812,203.7213238,210.0836878,151.9424777,213.1394587,113.4051945,209.9904702,109.1834593,201.3492928,19.93756819,181.42351
95,235.154561,202.1312127,203.7150463,210.0896773,151.978061,213.1678581,113.4120018,209.9975052,109.1781094,201.3491917,19.92884445,181.4212124
96,236.892933,201.4220238,204.1000845,209.8738351,151.2794013,212.9397144,114.7171826,209.1947777,116.5186362,203.782917,20.65809059,179.7385912
97,236.892933,201.4220238,204.1000845,209.8738351,151.2794013,212.9397144,114.7171826,209.1947777,116.5186362,203.782917,20.65809059,179.7385912
98,238.2601922,201.286695,203.7054272,210.1265898,149.8003346,211.2175546,125.7107954,205.9924893,116.7337679,207.8666215,20.59509987,178.7430148
99,238.263763,201.2928162,203.6559698,210.090673,149.8967593,211.256206,126.0651302,205.9929005,116.6272648,208.0507426,20.60212845,178.73383
100,240.6229291,201.4836702,204.02377,210.5622978,148.4771124,211.3224592,117.8977661,208.8504474,121.2769704,205.5420439,21.35172451,178.6518984
101,240.6334395,201.5376325,204.1426339,210.6528111,148.4281408,211.2082715,118.167825,208.7819462,120.633328,205.8753208,21.34878111,178.5530725
102,242.1037765,201.5389638,203.9447541,210.9878011,150.7305136,211.7920938,112.3208201,208.5042672,134.292304,202.1188807,22.98251534,178.9836178
103,241.8963089,201.4994826,203.9117658,210.8760529,150.9676745,211.614305,112.8335238,208.9499898,134.0663428,202.3352327,23.06319833,179.0541129
104,244.7835152,201.8068223,203.89866,211.2766004,153.5501895,211.1698627,111.3166482,209.1486602,141.1365898,205.3639755,25.03927088,179.5473385
105,244.7036921,201.8014417,203.9008999,211.3301015,153.5364633,211.1380143,111.6239471,209.6232448,140.5439759,204.8908205,25.04589891,179.682164
106,247.0179019,201.8062987,204.2439467,211.5912323,156.2620525,209.9730258,111.9047198,210.0582347,145.4851942,206.4676127,26.10150051,181.4485259
107,247.0198686,201.8030658,204.235764,211.6016889,156.2372956,209.999867,111.9066904,210.0600386,145.4655104,206.4712212,26.10539246,181.4248238
108,249.2494659,202.1581535,204.688785,211.1590095,161.2809551,206.7427521,113.0605288,209.8496017,146.0150995,207.6123497,27.26175928,182.7020006
109,249.2494659,202.1581531,204.688785,211.1590095,161.2809551,206.7427521,113.0605288,209.8496017,146.0150995,207.6123497,27.26175928,182.7020006
110,250.1711855,202.2894244,204.2340441,211.090353,166.7798057,202.4987206,112.2503023,209.6586266,146.458673,208.9490824,27.69150686,183.7509003
111,250.0675135,202.2154827,204.1999229,211.0319066,166.7656059,202.4829907,112.240119,209.5658932,146.4764242,208.8111582,27.66221046,183.6864798
112,252.0585611,202.1383944,204.1535642,212.1121254,173.8028374,201.3180332,112.4477406,209.3166924,146.6266279,209.3033633,27.99975192,184.7369075
113,252.0585611,202.1383944,204.1535642,212.1121254,173.8028374,201.3180332,112.4477406,209.3166924,146.6266279,209.3033633,27.99975192,184.7369075
114,254.0994728,202.9386706,204.3369882,213.2945166,182.4063008,199.1700847,112.8930254,209.2829032,146.0929174,209.3697286,29.23589742,185.7801886
115,254.0982997,202.9609766,204.3749553,213.2052078,182.2883508,198.9811637,112.7726812,209.0770936,146.0960965,209.3417077,29.20870245,185.6707015
116,257.0278034,202.985352,203.9308047,212.9095604,192.5778475,201.2828021,113.3951316,209.9466481,146.7743071,210.4580469,31.23565149,186.5035448
117,257.0278034,202.985352,203.9308047,212.9095604,192.5778475,201.2828021,113.3951316,209.9466481,146.7743071,210.4580469,31.23565149,186.5035448
118,259.0731267,202.9949508,203.6775272,211.4073615,199.9369581,200.8365283,113.5133662,209.7197337,147.3396751,210.5131826,34.19886065,189.4350023
119,259.0392986,202.9884262,203.7323182,211.3696089,199.9869556,200.8467994,113.5120206,209.564517,147.2129046,210.581367,34.29286432,189.3708477
120,261.825945,202.905724,203.9905648,211.1822019,209.0228438,199.3518405,112.8966439,209.1864944,147.463788,211.2530551,37.60534406,190.8831401
121,261.825945,202.905724,203.9905648,211.1822019,209.0228438,199.3518405,112.8966439,209.1864944,147.463788,211.2530551,37.60534406,190.8831401
122,263.4182105,202.8780112,204.9470157,212.084446,216.2539268,201.3718519,113.1738997,208.7961707,147.7336926,210.8453989,40.4127202,191.9211185
123,263.3532548,202.8842955,204.8025194,211.9405632,216.2457294,201.297823,113.2025652,208.798852,147.768479,210.8799028,40.42557096,191.9348228
124,265.169261,202.9415436,205.463009,212.7580615,196.9786856,202.7033358,114.8920254,209.2179551,148.532571,211.1213865,43.59027171,192.2491255
125,265.169261,202.9415436,205.463009,212.7580615,196.9786856,202.7033358,114.8920254,209.2179551,148.532571,211.1213865,43.59027171,192.2491255
126,268.1126991,202.3241553,204.4476194,210.5079017,195.9761904,202.0794744,114.2487295,206.782146,147.9437501,211.404974,46.38162541,193.5911655
127,268.1547146,202.3480406,204.4750362,210.4598589,195.97296,202.065218,114.2592369,206.7284126,147.9108304,211.4013386,46.40040016,193.6872177
128,270.1882141,202.5392947,203.904208,210.2343435,232.5898461,209.6321683,118.6394985,202.2288224,146.3350328,211.927021,49.29992437,193.2549577
129,270.1882141,202.5392947,203.904208,210.2343435,232.5898461,209.6321683,118.6394985,202.2288224,146.3350328,211.927021,49.29992437,193.2549577
130,272.2784734,202.8275123,203.444787,210.6029267,232.2899518,211.5116463,126.9184279,200.0585098,145.3678212,210.2468581,51.71254191,193.4674807
131,272.2732687,202.8267355,203.4473616,210.5997443,232.333015,211.5059702,126.9214318,200.0602336,145.3617358,210.238584,51.72118086,193.4704604
132,274.195261,203.5448332,203.8261927,210.5366182,231.2194798,211.9401475,161.0187876,201.5857997,148.7593394,211.1736593,54.10640168,193.5431018
133,274.1392279,203.5283942,204.021878,210.6744866,230.0579329,211.9275449,161.2412739,201.4451613,148.7633049,211.1863828,54.1877811,193.4481778
134,275.8550644,204.244009,204.4911103,210.9470482,232.7466083,212.8486508,160.7290347,203.7276407,148.7193341,210.9816465,55.62912869,193.6414561
135,275.8677257,204.2444906,204.5004925,210.95121,232.7521467,212.8462238,160.7279642,203.7348937,148.7295474,210.9947166,55.60712624,193.6691103
136,277.3105689,204.581687,206.6151717,209.6186261,230.4022074,213.426258,167.0741606,204.2496948,151.1728683,211.0805216,57.99010515,194.3920569
137,277.3105689,204.581687,206.6151717,209.6186261,230.4022074,213.426258,167.0741606,204.2496948,151.1728683,211.0805216,57.99010515,194.3920569
138,278.7581348,204.7402277,203.3537025,208.0977211,230.5569322,213.1783061,172.0619489,204.3562956,150.9659503,211.7945471,59.45311683,195.3076334
139,278.7506645,204.7097511,203.257138,208.1086023,230.5780442,213.1890048,172.0570255,204.3468313,150.9708536,211.7939911,59.47190988,195.3194737
140,280.2878127,204.9484015,199.5790901,209.5324359,231.6967969,213.0478739,182.0399024,204.0649958,148.8846222,210.9985986,61.24379575,195.4448466
141,280.4266715,204.8848906,199.3613636,209.6529703,231.2680955,213.0695374,181.789587,204.1914635,149.0209326,210.9600754,60.97873729,195.4413996
142,1.776245594,133.5083538,6.959148645,287.578655,4.808325171,-0.474993706,9.516729832,124.5080899,6.610650778,92.04298694,865.2366281,121.3957465
143,1.774025679,133.508606,6.959148407,287.578655,4.803712308,-0.46628952,9.52246666,124.5083455,6.61111474,92.03481573,865.2366281,121.3957465
144,283.0240278,205.792678,204.1347201,208.8536859,229.5912926,212.505487,194.6778775,203.8535318,148.7691399,211.5558686,65.63803983,194.9140887
145,283.0279341,205.7908707,204.168418,208.8594947,229.5905073,212.5058697,194.6919103,203.8584881,148.7737747,211.5589204,65.63381433,194.9154401
146,284.8449202,205.8328419,240.991359,210.4393933,219.8762642,212.2129633,200.7694697,204.948678,148.399019,211.3345041,67.887878,195.1407018
147,284.8449202,205.8328419,240.991359,210.4393933,219.8762642,212.2129633,200.7694693,204.948678,148.399019,211.3345041,67.887878,195.1407018
148,286.7345443,205.1981344,241.3709683,210.1139057,221.8551006,212.4648453,204.9069892,208.2245045,148.2755699,211.0139637,70.09650421,195.9242864
149,286.7345443,205.1981344,241.3709683,210.1139057,221.8551006,212.4648453,204.9069892,208.2245045,148.2755699,211.0139637,70.09650421,195.9242864
150,288.7815113,204.9706802,240.0053377,210.4022959,222.6924016,212.4597173,206.839498,208.6642013,147.9724412,211.0113373,72.0288868,195.5335779
151,288.7815113,204.9706802,240.0053377,210.4022959,222.6924016,212.4597173,206.839498,208.6642013,147.9724412,211.0113373,72.0288868,195.5335779
152,291.2172191,204.9512167,241.9419782,209.291357,226.0286474,211.7810743,206.9501374,207.8640418,148.2574971,210.7676997,75.25569272,195.8080935
153,306.6618519,200.8783092,271.294795,204.3277364,231.2603617,212.7247744,206.340832,209.4983406,146.9913324,208.7221813,93.69290841,192.670095
154,308.89548,201.8749256,276.3238401,202.726964,232.4265895,212.7598429,205.7157836,209.2744451,147.9336016,206.5713158,96.1818738,191.4611802
155,308.8373773,201.7989516,276.1979865,202.7697091,232.4081688,212.7751312,205.5789828,209.2441325,147.9591989,206.5414133,96.20809603,191.4464483
156,310.9606259,202.7722096,279.6750715,206.0485146,232.8163371,212.7014055,205.5039475,210.4579611,153.289042,205.4864969,97.56961918,190.2959175
157,310.9606259,202.7722096,279.6750715,206.0485146,232.8163371,212.7014055,205.5039475,210.4579611,153.289042,205.4864969,97.56961918,190.2959175
158,312.4902167,202.6081266,279.6880298,208.274713,233.5680313,212.1459265,204.1264592,211.6187057,163.6297197,201.2824559,97.77360749,189.8624153
159,312.4839716,202.6154122,279.6532817,208.2823486,233.5601521,212.1589088,204.126788,211.617095,163.6970696,201.3568902,97.79628539,189.8008289
160,313.8937807,202.559299,279.0902216,209.5799642,233.9235811,212.7661085,205.5101449,211.7290683,173.9847164,198.3591759,100.0267414,188.9887867
161,313.8937812,202.559299,279.0902216,209.5799642,233.9235811,212.7661085,205.5101449,211.7290683,173.9847164,198.3591759,100.0267414,188.9887867
162,315.627557,202.0475812,278.5823476,210.2439599,233.3583083,213.5206709,205.1364849,210.7188981,185.0549932,200.4838986,101.6945249,188.8575706
163,315.6281687,202.0444336,278.5955176,210.2450891,233.344974,213.5245113,205.1348566,210.732249,185.0637875,200.485465,101.696771,188.8592958
164,317.5982685,201.8039722,278.9674778,210.5165048,232.9486766,212.612236,206.7394929,210.9995317,194.7431641,202.2937918,103.903836,188.4870024
165,317.5982685,201.8039722,278.9674778,210.5165048,232.9486766,212.612236,206.7394929,210.9995317,194.7431641,202.2937918,103.903836,188.4870024
166,319.8885162,201.9082313,278.6938117,210.5027151,232.6737728,211.3608537,205.141938,211.5883632,204.1776295,203.0867949,106.0153071,187.9145708
167,319.8947325,201.9160914,278.6212842,210.4936533,232.6923378,211.4179163,205.1677222,211.641493,204.1417601,203.1371851,106.1031809,187.9562426
168,322.0342484,201.6958685,278.9695699,210.7779689,231.4383745,212.4598978,215.6114402,207.4298267,211.7233557,206.6612587,107.8043661,187.4953227
169,322.0342484,201.6958685,278.9695699,210.7779689,231.4383745,212.4598978,215.6114402,207.4298267,211.723356,206.6612587,107.8043661,187.4953227
170,323.7012697,201.8767338,278.943351,211.050427,232.3609254,211.8518996,213.5140121,208.6736259,215.5894909,206.5076382,110.3943229,187.3717403
171,323.7147133,201.8797097,278.9560919,211.0469069,232.3886204,211.8513327,213.5817574,208.6310506,215.5650134,206.4950409,110.3874543,187.3348432
172,325.2484033,202.2836518,279.1373177,211.1229501,233.1844792,211.5547199,210.4590678,210.0019079,221.5842152,206.1539271,112.4753404,187.3325558
173,325.2484033,202.2836518,279.1373177,211.1229501,233.1844792,211.5547199,210.4590678,210.0019079,221.5842152,206.1539271,112.4753404,187.3325558
174,327.502099,202.2272801,278.6650708,211.0723314,234.0899632,210.7389531,209.9649396,210.312308,223.5505943,208.0333109,114.6362834,187.6947646
175,327.4711456,202.2511783,278.6679077,211.0669122,234.0998535,210.7176075,209.8010788,210.260918,223.5232251,208.0272756,114.6313363,187.6877046
176,329.3792357,202.2058725,279.5695202,210.7155576,238.8911605,209.1433201,209.1029663,210.3308499,226.0168786,208.8094707,115.8906133,188.117507
177,329.3792357,202.2058725,279.5695202,210.7155576,238.8911605,209.1433201,209.1029663,210.3308499,226.0168786,208.8094707,115.8906133,188.117507
178,331.3153043,201.9321198,279.6508374,210.9545784,243.206495,205.1852875,210.1032882,209.6561551,224.3241231,210.9263315,117.5632805,189.229352
179,331.3323135,201.9334731,279.6390123,210.9528999,243.2960984,205.0980368,210.188807,209.5693452,224.3748577,210.8771667,117.5937515,189.2998104
180,333.4789695,201.911839,278.5964355,211.8264832,251.4297686,201.233377,214.249377,209.9464085,225.9415264,211.4274278,119.1568127,190.2456334
181,333.4789695,201.911839,278.5964355,211.8264832,251.4297686,201.233377,214.249377,209.9464085,225.9415264,211.4274278,119.1568127,190.2456334
182,335.3164883,202.2892098,278.7810757,211.9938726,260.1187506,200.5111289,226.9626101,208.0553999,224.6354187,212.5126553,120.4694939,191.1403055
183,335.2802076,202.2790232,278.7636547,212.022398,260.1453991,200.5261145,226.9343985,208.0992703,224.6222298,212.4871378,120.470542,191.1445644
184,338.057374,202.9515395,278.090714,212.0953598,267.5096097,200.387063,218.9358656,207.2625332,225.0447366,211.8705583,121.8799105,191.6507466
185,338.057374,202.9515395,278.090714,212.0953598,267.5096097,200.387063,218.9358656,207.2625332,225.0447366,211.8705583,121.8799105,191.6507466
186,339.3052933,203.3740077,278.4214661,211.3689516,275.885076,200.1960645,225.3897049,207.402318,220.5578842,211.5317934,123.6486216,192.5133762
187,339.3041424,203.3686118,278.4274471,211.3611202,275.8941808,200.1907973,225.3694301,207.4286413,220.5704212,211.5471075,123.6576428,192.5055308
